name,establishment,city,locality,latitude,longitude,cuisines,average_cost_for_two,highlights,aggregate_rating
Coal Barbecues,Casual Dining,Chennai,Velachery,12.98605734,80.21822412,"North Indian, Mediterranean, Asian, Arabian, BBQ",1400,"Cash, Credit Card, Debit Card, Delivery, Lunch, Takeaway Available, Dinner, Valet Parking Available, Table reservation required, Wifi, Buffet, Desserts and Bakes, Indoor Seating, Air Conditioned",4.9
Coal Barbecues,Casual Dining,Chennai,T. Nagar,13.04680916,80.23702137,"North Indian, Mediterranean, Asian, Arabian, BBQ",1400,"Dinner, Cash, Credit Card, Debit Card, Lunch, Takeaway Available, Free Parking, Indoor Seating, Air Conditioned, Valet Parking Available, Table reservation required, Kid Friendly, Buffet",4.9
Barbeque Nation,Casual Dining,Chennai,T. Nagar,13.04676148,80.23489002,"North Indian, Continental, Kebab, BBQ",1500,"Dinner, Cash, Takeaway Available, Lunch, Delivery, Credit Card, Debit Card, Indoor Seating, Air Conditioned, Buffet, Table booking recommended, Kid Friendly",4.8
Paradise,Casual Dining,Chennai,Perungudi,12.97245671,80.24980344,"Biryani, North Indian",800,"Lunch, Cash, Takeaway Available, Debit Card, No Alcohol Available, Dinner, Delivery, Credit Card, Indoor Seating, Air Conditioned, Table Reservation Not Required",4.4
Onesta,Casual Dining,Chennai,Semmancheri,12.87508844,80.2273225,"Pizza, Italian, Fast Food, Beverages, Desserts",600,"Dinner, Takeaway Available, Lunch, Cash, Credit Card, Debit Card, Indoor Seating, Air Conditioned, Buffet, Table booking recommended",4.9
Chili's American Grill & Bar,Casual Dining,Chennai,"Express Avenue Mall,  Royapettah",13.05849964,80.26460756,"Mexican, American, Tex-Mex, Burger",1400,"Dinner, Cash, Credit Card, Lunch, Mall Parking, Takeaway Available, Debit Card, Indoor Seating, Table Reservation Not Required, Air Conditioned",4.8
Maplai,Casual Dining,Chennai,Nungambakkam,13.0638324,80.23634043,"Chettinad, Biryani, South Indian",1000,"Credit Card, Delivery, Dinner, Takeaway Available, Lunch, Debit Card, No Alcohol Available, Cash, Air Conditioned, Valet Parking Available, Wheelchair Accessible, Table reservation required, Wifi, Indoor Seating, Free Parking",4.4
Copper Kitchen,Casual Dining,Chennai,Porur,13.03655957,80.15713144,"Seafood, North Indian, Chinese, Chettinad",800,"Credit Card, Debit Card, Dinner, Cash, Delivery, Lunch, Takeaway Available, Live Sports Screening, Indoor Seating, Digital Payments Accepted, Buffet, Valet Parking Available, Table booking recommended, Air Conditioned, Wifi",4.5
AB's - Absolute Barbecues,Casual Dining,Chennai,Velachery,12.98186572,80.23164991,"BBQ, North Indian, European, Beverages",1400,"Debit Card, Cash, Lunch, Takeaway Available, Credit Card, Dinner, Indoor Seating, Buffet, Air Conditioned, Table booking recommended, Digital Payments Accepted",4.9
Palmshore,Casual Dining,Chennai,Ashok Nagar,13.02983701,80.20875156,"Seafood, Biryani, Kebab, North Indian, Chinese, Arabian, BBQ, Juices",1000,"Credit Card, Debit Card, Dinner, Takeaway Available, Lunch, Cash, Delivery, Live Sports Screening, Indoor Seating, Air Conditioned, Wheelchair Accessible, Buffet, Valet Parking Available, Table booking recommended, Halal",4.5
Chili's American Grill & Bar,Casual Dining,Chennai,"Phoenix Market City, Velachery",12.99089639,80.21699969,"Mexican, American, Tex-Mex, Burger",1400,"Dinner, Mall Parking, Delivery, Credit Card, Lunch, Cash, Takeaway Available, Debit Card, Indoor Seating, Table booking recommended, Free Wifi, Air Conditioned",4.8
Yaa Mohideen Biryani,Casual Dining,Chennai,Pallavaram,12.97081527,80.14718179,"Biryani, Chinese",400,"Dinner, Cash, Lunch, Debit Card, Indoor Seating, Table Reservation Not Required",4.5
Palmshore,Casual Dining,Chennai,Ramapuram,13.02609169,80.17479714,"Seafood, Biryani, Kebab, North Indian, Chinese, Arabian, BBQ, Juices",1000,"Lunch, Cash, Takeaway Available, No Alcohol Available, Dinner, Delivery, Credit Card, Live Sports Screening, Indoor Seating, Table booking recommended, Valet Parking Available, Air Conditioned",4.6
Pind,Casual Dining,Chennai,Velachery,12.97581504,80.22202816,"North Indian, Chinese",900,"Dinner, Cash, Delivery, Credit Card, Debit Card, Lunch, Takeaway Available, Indoor Seating, Air Conditioned, Pure Veg, Table reservation required, Catering Available, Wifi, Serves Jain Food, Buffet",4.2
Fusilli Reasons,Quick Bites,Chennai,Kilpauk,13.08144068,80.24889752,Italian,400,"Cash, Debit Card, Dinner, Delivery, Credit Card, Lunch, No Alcohol Available, Takeaway Available, Free Parking, Indoor Seating, Air Conditioned, Pure Veg",4.6
10 Downing Street,Pub,Chennai,T. Nagar,13.04296317,80.24428882,"Finger Food, North Indian, Chinese, Continental",1000,"Dinner, Delivery, Credit Card, Lunch, Cash, Takeaway Available, Debit Card, Serves Alcohol, Free Parking, Live Entertainment, Nightlife, Fullbar, Indoor Seating, Air Conditioned, Smoking Area, Karaoke, Live Sports Screening, Valet Parking Available, Live Music, Restricted Entry, Wheelchair Accessible",4.1
Animal Kingdom,Casual Dining,Chennai,Adyar,13.0075318,80.25821116,"North Indian, Chinese, Continental, Thai, South Indian",1300,"Dinner, Takeaway Available, Lunch, Cash, Delivery, Credit Card, Debit Card, Indoor Seating, Air Conditioned, Wheelchair Accessible, Buffet, Table booking recommended",4
Cafe Xtasi,Casual Dining,Puducherry,MG Road,11.93377885,79.83084742,"Italian, Pizza",900,"Lunch, Cash, Takeaway Available, Dinner, Delivery, Credit Card, Debit Card, Indoor Seating, Table booking recommended, Wifi, Brunch, Desserts and Bakes, Rooftop, Air Conditioned, Smoking Area",4
Coal Barbecues,Casual Dining,Chennai,Navallur,12.85154457,80.22635356,"North Indian, Mediterranean, Asian, Arabian, BBQ",1400,"Lunch, Cash, Credit Card, Debit Card, Dinner, Valet Parking Available, Table booking recommended, Indoor Seating, Air Conditioned, Wifi, Buffet, Desserts and Bakes",4.9
That Madras Place,Casual Dining,Chennai,Adyar,13.00586804,80.25076367,"European, Cafe, Italian, Salad, Sandwich, Continental, American, Beverages",800,"Dinner, Cash, Delivery, Credit Card, Lunch, Takeaway Available, Debit Card, Indoor Seating, Digital Payments Accepted, Wheelchair Accessible, Desserts and Bakes, Table booking recommended, Air Conditioned, Smoking Area, Wifi",4.1
Cleo's Grill & Cafe,Casual Dining,Chennai,Adyar,12.99315058,80.25531538,"Chinese, Continental, Steak, North Indian",1100,"Lunch, Cash, Delivery, No Alcohol Available, Dinner, Takeaway Available, Credit Card, Debit Card, Free Wifi, Air Conditioned, Wheelchair Accessible, Vegan Options, Buffet, Digital Payments Accepted, Free Parking, Romantic Dining, Table booking recommended, Kid Friendly, Private Dining Area Available, Wifi, Indoor Seating",4.5
AB's - Absolute Barbecues,Casual Dining,Chennai,Navallur,12.85046489,80.22566121,"BBQ, North Indian, European, Beverages",1400,"Dinner, Takeaway Available, Debit Card, Lunch, Cash, Credit Card, Indoor Seating, Air Conditioned, Digital Payments Accepted",4.9
The Black Pearl,Casual Dining,Chennai,Sholinganallur,12.9014492,80.22684138,"North Indian, European, Mediterranean, Continental, BBQ",1500,"Dinner, Cash, Credit Card, Debit Card, Lunch, Valet Parking Available, Indoor Seating, Variable Menu, Live Music, Table booking recommended, Air Conditioned, Smoking Area, Buffet, Sneakpeek",4.8
Savoury Sea Shell,Casual Dining,Chennai,Anna Nagar East,13.08731766,80.21830458,"Arabian, Chinese, North Indian, Biryani, Kerala, Salad, BBQ, Burger",700,"Dinner, Cash, Takeaway Available, Lunch, Delivery, Credit Card, Debit Card, Indoor Seating, Card Upon Delivery, Buffet, Table booking recommended, Air Conditioned",4.1
Pantry d'or,Casual Dining,Chennai,Anna Nagar East,13.09198557,80.21894764,"Continental, Cafe, Italian, Desserts, Salad",750,"Credit Card, Cash, Delivery, No Alcohol Available, Dinner, Takeaway Available, Debit Card, Breakfast, Lunch, Outdoor Seating, Table reservation required, Wifi, Desserts and Bakes, Air Conditioned, Free Parking, Private Dining Area Available, Halal, Indoor Seating, Digital Payments Accepted",4.3
Azzuri Bay,Casual Dining,Chennai,Adyar,13.01121207,80.25396757,"Italian, Mediterranean, Thai, Seafood, Salad, Momos",1000,"Dinner, Credit Card, Lunch, Cash, Delivery, Debit Card, Rooftop, Air Conditioned, Wheelchair Accessible, Table reservation required",4.2
Mexicano Griller,Casual Dining,Chennai,Nungambakkam,13.06335296,80.23621604,"Mexican, Continental, Tex-Mex, American, Burger, Italian, Desserts, Beverages",800,"Dinner, Takeaway Available, Debit Card, Lunch, Cash, Delivery, Credit Card, Live Sports Screening, Indoor Seating, Table booking recommended, Kid Friendly, Disabled Friendly, Smoking Area, Brunch, Valet Parking Available, Free Wifi, Air Conditioned, Axis Bank - Dining Delights, Buffet",4
Sukkubhai Biriyani,Quick Bites,Chennai,Alandur,12.99825705,80.2014811,"Biryani, North Indian",300,"Lunch, Cash, Debit Card, No Alcohol Available, Dinner, Credit Card, Indoor Seating",4.4
Gastronomer by Double Roti,Cafe,Chennai,Teynampet,13.0339308,80.24694722,"Cafe, American, Fast Food, Burger, Momos",1000,"Dinner, Cash, Delivery, Credit Card, Lunch, Takeaway Available, Debit Card, Indoor Seating, Air Conditioned, Wifi",4.4
Palmshore,Casual Dining,Chennai,Santhome,13.02625632,80.27521167,"Seafood, Biryani, Kebab, North Indian, Chinese, Arabian, BBQ, Juices",1000,"Dinner, Cash, Takeaway Available, Credit Card, Debit Card, Lunch, Delivery, Valet Parking Available, Indoor Seating, Card Upon Delivery, Outdoor Seating, Table booking recommended, Air Conditioned, Halal, Buffet",4.5
Kaidi Kitchen,Casual Dining,Chennai,Mylapore,13.0445019,80.26153073,"Italian, Mexican, Chinese, Thai, North Indian, Salad",1500,"Delivery, Credit Card, No Alcohol Available, Dinner, Cash, Takeaway Available, Debit Card, Lunch, Air Conditioned, Pure Veg, Valet Parking Available, Serves Jain Food, Indoor Seating, Table booking recommended",4.1
Zaitoon,Casual Dining,Chennai,Adyar,12.99673893,80.25608584,"North Indian, Arabian, Chinese",900,"Takeaway Available, Credit Card, Lunch, Delivery, Debit Card, No Alcohol Available, Dinner, Cash, Wifi, Free Parking, Indoor Seating, Table booking recommended, Card Upon Delivery, Catering Available, Halal, Valet Parking Available, Digital Payments Accepted, Air Conditioned",4.1
AB's - Absolute Barbecues,Casual Dining,Chennai,Porur,13.030049,80.16411792,"BBQ, North Indian, European, Beverages",1400,"Takeaway Available, Lunch, Cash, Credit Card, Debit Card, Dinner, Air Conditioned, Buffet, Valet Parking Available, Table booking recommended, Indoor Seating, Digital Payments Accepted",4.8
Zaitoon,Casual Dining,Chennai,Velachery,12.97320163,80.21942709,"North Indian, Arabian, Chinese",900,"Cash, Takeaway Available, Credit Card, Debit Card, Lunch, Delivery, Dinner, Card Upon Delivery, Catering Available, Sodexo, Live Sports Screening, Valet Parking Available, Table booking recommended, Table booking for Groups, Air Conditioned, Kid Friendly, Halal, Buffet, Free Parking, Sports TV, Indoor Seating",4.1
Sandy's Chocolate Laboratory,Cafe,Chennai,Nungambakkam,13.06110823,80.24829201,"Cafe, Continental, Italian, Desserts",1400,"Lunch, Cash, Delivery, Credit Card, Debit Card, No Alcohol Available, Dinner, Takeaway Available, Breakfast, Free Parking, Indoor Seating, Table booking recommended, Valet Parking Available, Air Conditioned, Wheelchair Accessible, Desserts and Bakes",4.4
Guntur Gongura,Casual Dining,Chennai,Sholinganallur,12.9016979,80.22739928,"Biryani, Andhra, North Indian, Chinese",500,"Lunch, Delivery, Credit Card, Debit Card, Dinner, Cash, Takeaway Available, Breakfast, Live Sports Screening, Table booking recommended, Air Conditioned, Indoor Seating, Digital Payments Accepted",3.7
Barbeque Nation,Casual Dining,Chennai,Thuraipakkam,12.94350901,80.23813147,"North Indian, Continental, Kebab, BBQ",1500,"Dinner, Cash, Credit Card, Debit Card, Lunch, Takeaway Available, Indoor Seating, Air Conditioned, Table booking recommended, Kid Friendly, Buffet",4.8
Haunted,Casual Dining,Chennai,Anna Nagar East,13.08625533,80.22054456,"North Indian, Mughlai, Burmese, Beverages",800,"Lunch, Takeaway Available, No Alcohol Available, Dinner, Cash, Delivery, Credit Card, Debit Card, Valet Parking Available, Indoor Seating, Table reservation required, Air Conditioned, Axis Bank - Dining Delights, Smoking Area, Buffet, Group Meal, Outdoor Seating, Digital Payments Accepted, Kid Friendly",3.9
Kipling Cafe,Casual Dining,Chennai,"Kipling, East Coast Road (ECR)",12.89521322,80.25232941,"Continental, Thai, Italian",2400,"Dinner, Delivery, Debit Card, Lunch, Serves Alcohol, Cash, Takeaway Available, Credit Card, Free Parking, Fullbar, Indoor Seating, Rooftop, Table booking recommended, Catering Available, Private Dining Area Available, Wheelchair Accessible, Halal, Live Sports Screening, Outdoor Seating, Romantic Dining, Air Conditioned, Smoking Area, Wifi",4.1
Basil With A Twist,Fine Dining,Chennai,T. Nagar,13.04948875,80.24217993,"Continental, Cafe, Italian, European, Mediterranean, Steak, Pizza, Salad",1500,"Lunch, Cash, Delivery, Takeaway Available, Credit Card, Debit Card, No Alcohol Available, Dinner, Halal, Buffet, Live Sports Screening, Live Music, Romantic Dining, Table booking recommended, Wheelchair Accessible, Valet Parking Available, Indoor Seating, Air Conditioned, Smoking Area, Wifi",4.5
Tovo,Casual Dining,Chennai,Mylapore,13.04470441,80.26177313,"Burger, American, Continental, Steak, Salad",1600,"No Alcohol Available, Dinner, Cash, Takeaway Available, Debit Card, Lunch, Delivery, Credit Card, Indoor Seating, Rooftop, Air Conditioned, Table booking recommended",4.2
Wild Garden Cafe - Amethyst,Cafe,Chennai,Royapettah,13.05722424,80.25920492,"Cafe, Italian, Continental",1400,"Credit Card, Takeaway Available, Dinner, Lunch, Cash, No Alcohol Available, Debit Card, Air Conditioned, All Day Breakfast, Outdoor Seating, Table reservation required, Wifi, Brunch, Pet Friendly",4.4
Supriya Andhra Restaurant,Quick Bites,Chennai,Thuraipakkam,12.92804246,80.23082044,"Biryani, North Indian, Chinese",650,"Lunch, Delivery, Credit Card, Dinner, Cash, Takeaway Available, Debit Card, Free Parking, Air Conditioned, Indoor Seating",4
Ciclo Cafe,Cafe,Chennai,Kotturpuram,13.02237309,80.24241664,"Cafe, Italian, American",1100,"Lunch, Takeaway Available, Debit Card, Dinner, Cash, Delivery, Credit Card, Valet Parking Available, Digital Payments Accepted, Axis Bank - Dining Delights, Wifi, Indoor Seating, Air Conditioned, Desserts and Bakes",4.3
Copper Kitchen,Casual Dining,Chennai,Saligramam,13.05075047,80.20372409,"Seafood, North Indian, Chinese, Chettinad",800,"Dinner, Takeaway Available, Lunch, Cash, Delivery, Credit Card, Live Sports Screening, Indoor Seating, Air Conditioned, Wifi, Buffet, Valet Parking Available, Table booking recommended",4.2
Punjab Grill,Fine Dining,Chennai,Velachery,12.99090717,80.21706875,North Indian,1600,"Credit Card, No Alcohol Available, Dinner, Cash, Delivery, Debit Card, Lunch, Air Conditioned, Wifi, Valet Parking Available, Indoor Seating, Table reservation required",4.4
Writer's Cafe,Cafe,Chennai,Gopalapuram,13.05436837,80.25745008,"Cafe, American, Italian, Beverages",500,"Dinner, Delivery, Cash, Takeaway Available, No Alcohol Available, Credit Card, Lunch, Debit Card, Wifi, Air Conditioned, Indoor Seating, Table reservation required, Digital Payments Accepted",4.4
Paradise,Casual Dining,Chennai,Porur,13.02889922,80.17037921,"Biryani, North Indian",800,"Dinner, Delivery, Credit Card, Lunch, Cash, Takeaway Available, Debit Card, Indoor Seating, Air Conditioned, Table booking recommended",4.2
Grill Box - Unlimited BBQ,Casual Dining,Chennai,Mylapore,13.04421708,80.26869591,"North Indian, South Indian",1200,"Dinner, Cash, Delivery, Lunch, Takeaway Available, Credit Card, Debit Card, Free Parking, Indoor Seating, Air Conditioned, Halal, Buffet, Valet Parking Available, Table reservation required, Kid Friendly, Private Dining Area Available",4.6
Bhangra,Casual Dining,Chennai,"Mayajaal Multiplex, Kanathur",12.84767366,80.23936898,North Indian,800,"Lunch, Mall Parking, Delivery, Credit Card, Debit Card, No Alcohol Available, Dinner, Cash, Takeaway Available, Breakfast, Indoor Seating, Table reservation required, Air Conditioned",4.9
Palmshore,Casual Dining,Chennai,Egmore,13.06940738,80.25708497,"Seafood, Biryani, Kebab, North Indian, Chinese, Arabian, BBQ, Juices",1000,"Lunch, Cash, Delivery, No Alcohol Available, Dinner, Takeaway Available, Credit Card, Debit Card, Live Sports Screening, Indoor Seating, Table booking recommended, Halal, Buffet, Valet Parking Available, Air Conditioned, Wheelchair Accessible",4.5
Rajdhani Thali Restaurant,Casual Dining,Chennai,"Phoenix Market City, Velachery",12.99085555,80.21704361,"Rajasthani, Gujarati, North Indian",1200,"Dinner, Lunch, Delivery, Debit Card, Mall Parking, Takeaway Available, Cash, Credit Card, Air Conditioned, Serves Jain Food, Table reservation required, Indoor Seating, Wheelchair Accessible, All Day Breakfast, Pure Veg",4.1
Barbeque Nation,Casual Dining,Chennai,"The Grand Mall, Velachery",12.97196271,80.220218,"North Indian, Continental, Kebab, BBQ",1500,"Dinner, Cash, Takeaway Available, Lunch, Delivery, Credit Card, Debit Card, Indoor Seating, Air Conditioned, Buffet, Table booking recommended, Kid Friendly",4.7
Dhaba Estd 1986 Delhi,Casual Dining,Chennai,"Ispahani Centre, Nungambakkam",13.05505197,80.24970621,North Indian,1800,"Dinner, Mall Parking, Takeaway Available, Debit Card, Lunch, Cash, Delivery, Credit Card, Indoor Seating, Digital Payments Accepted, Wifi, Table booking recommended, Air Conditioned",4.7
Baker Street,Bakery,Puducherry,MG Road,11.92938748,79.82865002,"Bakery, French",400,"Takeaway Available, Cash, Breakfast, No Alcohol Available, Credit Card, Delivery, Desserts and Bakes, Indoor Seating, Wifi, Air Conditioned",4.4
Grill Box,Casual Dining,Chennai,T. Nagar,13.04525967,80.23587003,"North Indian, Seafood, Chinese, Continental",1200,"Lunch, Delivery, Credit Card, Debit Card, Dinner, Cash, Takeaway Available, Free Parking, Valet Parking Available, Table booking recommended, Kid Friendly, Live Sports Screening, Indoor Seating, Air Conditioned, Buffet, Group Meal",3.8
Crimson Chakra,Casual Dining,Chennai,Adyar,13.01102489,80.25399204,"South Indian, North Indian, Asian, Continental",1000,"Dinner, Cash, Delivery, Credit Card, Debit Card, Lunch, Takeaway Available, Outdoor Seating, Romantic Dining, Air Conditioned, Indoor Seating, Table booking recommended, Catering Available, Wheelchair Accessible, Buffet, Group Meal",3.9
Barbeque Nation,Casual Dining,Chennai,"Hotel Bhimaas, Vadapalani",13.05240249,80.21234572,"North Indian, Continental, Kebab, BBQ",1500,"Dinner, Cash, Lunch, Takeaway Available, Credit Card, Debit Card, Indoor Seating, Air Conditioned, Halal, Buffet, Table booking recommended, Kid Friendly",4.2
Momo Sa-Khang by Kailash Kitchen,Quick Bites,Chennai,Choolaimedu,13.06555847,80.2311641,"Momos, Chinese",350,"Lunch, Cash, Takeaway Available, Debit Card, Delivery, Credit Card, Free Parking, Indoor Seating",4.8
"3B's - Buddies, Bar & Barbecue",Casual Dining,Chennai,T. Nagar,13.04537268,80.23300409,North Indian,1200,"Takeaway Available, Dinner, Lunch, Cash, Debit Card, Credit Card, Serves Alcohol, Live Entertainment, Fullbar, Digital Payments Accepted, Wifi, Live Sports Screening, Live Music, Air Conditioned, Smoking Area, Nightlife, Indoor Seating, Resto Bar, DJ, Valet Parking Available, Table booking recommended",4.5
Paragon,Food Court,Kochi,"LuLu Mall, Edappally",10.02736389,76.30825833,"Kerala, South Indian, Continental, North Indian, Seafood, Chinese",900,"Delivery, Lunch, Takeaway Available, Dinner, Mall Parking, Cash, Breakfast, Credit Card, No Alcohol Available, Indoor Seating, Wheelchair Accessible",4.5
Blind Ch3mistry,Cafe,Chennai,Besant Nagar,13.00066372,80.27035821,"Cafe, Continental, Italian, Desserts",700,"Lunch, Cash, Takeaway Available, Debit Card, Dinner, Delivery, Credit Card, Live Sports Screening, Free Wifi, Digital Payments Accepted, Indoor Seating, Table reservation required, Air Conditioned, Desserts and Bakes",4.5
Kobe Sizzlers,Casual Dining,Chennai,"Phoenix Market City, Velachery",12.99208,80.21713279,"Continental, Italian, Steak, Chinese",1100,"Delivery, Credit Card, Lunch, Debit Card, Mall Parking, Dinner, Takeaway Available, Cash, Air Conditioned, Indoor Seating, Table reservation required",4.5
Le Cafe,Cafe,Puducherry,White Town,11.93159679,79.83566064,Cafe,450,"No Alcohol Available, Dinner, Lunch, Takeaway Available, Cash, Breakfast, Table Reservation Not Required, Outdoor Seating",3.5
Prems Graama Bhojanam,Casual Dining,Chennai,Adyar,13.00624895,80.25397964,South Indian,300,"Dinner, Cash, Takeaway Available, Credit Card, Lunch, Delivery, Debit Card, Indoor Seating, Pure Veg, Digital Payments Accepted, Gluten Free Options, Vegan Options",4.7
Maplai,Casual Dining,Chennai,Neelangarai,12.94389099,80.25365945,"Chettinad, Biryani, South Indian",1000,"Cash, Debit Card, Dinner, No Alcohol Available, Takeaway Available, Credit Card, Lunch, Indoor Seating, Wifi, Free Parking, Air Conditioned, Table reservation required, Valet Parking Available",4.4
Amadora Gourmet Ice Cream & Sorbet,Dessert Parlour,Chennai,Nungambakkam,13.06096093,80.24948694,Desserts,500,"No Alcohol Available, Cash, Takeaway Available, Debit Card, Delivery, Credit Card, Valet Parking Available, Outdoor Seating, Air Conditioned, Desserts and Bakes",4.6
Jonah's Bistro,Casual Dining,Chennai,Besant Nagar,12.99773141,80.26751641,"Continental, European, Italian",800,"Dinner, Cash, Takeaway Available, Breakfast, Lunch, Delivery, Credit Card, Debit Card, Indoor Seating, Digital Payments Accepted, Table reservation required, Air Conditioned",4.2
Nasi And Mee,Casual Dining,Chennai,Nungambakkam,13.06076399,80.24971392,"Singaporean, Malaysian, Chinese, Asian, Thai, Momos",1200,"No Alcohol Available, Dinner, Takeaway Available, Debit Card, Lunch, Cash, Delivery, Credit Card, Valet Parking Available, Sneakpeek, Wifi, Indoor Seating, Air Conditioned",4.6
Mathsya,Casual Dining,Chennai,Egmore,13.07501065,80.25781788,"South Indian, North Indian, Chinese, Beverages",900,"Cash, Debit Card, Delivery, No Alcohol Available, Dinner, Credit Card, Takeaway Available, Breakfast, Lunch, Indoor Seating, Pure Veg, Valet Parking Available, Air Conditioned, Table booking recommended",4.2
Cream Centre,Casual Dining,Chennai,Nungambakkam,13.06695304,80.24602052,"North Indian, Italian, Mexican",1600,"No Alcohol Available, Debit Card, Delivery, Cash, Dinner, Credit Card, Lunch, Takeaway Available, Valet Parking Available, Pure Veg, Serves Jain Food, Digital Payments Accepted, Air Conditioned, Indoor Seating, Table Reservation Not Required",4.2
Mash Resto Cafe,Casual Dining,Chennai,Besant Nagar,13.00104594,80.27125876,"Fast Food, Continental, Italian",800,"Credit Card, Cash, Delivery, Dinner, Lunch, Debit Card, No Alcohol Available, Takeaway Available, Indoor Seating, Rooftop, Outdoor Seating, Romantic Dining, Free Parking, Wifi, Table booking recommended, Air Conditioned",3.9
Lloyd's Tea House,Cafe,Chennai,Gopalapuram,13.05048754,80.25585484,"Cafe, Italian, European, Asian",1000,"Dinner, Cash, Delivery, Credit Card, Lunch, Takeaway Available, Debit Card, Indoor Seating, Table booking recommended, Free Wifi, Air Conditioned, Wifi",4.3
Sangeetha Veg Restaurant,Casual Dining,Chennai,Thuraipakkam,12.94409489,80.23793433,"South Indian, North Indian, Chinese",500,"Dinner, Delivery, Credit Card, Debit Card, Lunch, Cash, Takeaway Available, Breakfast, Indoor Seating, Digital Payments Accepted, Catering Available, Pure Veg, Table booking recommended, Air Conditioned, Serves Jain Food",4.2
Murugan Idli Shop,Quick Bites,Chennai,Besant Nagar,12.99552267,80.27041923,South Indian,300,"Dinner, Cash, Takeaway Available, Credit Card, Debit Card, Lunch, Delivery, Breakfast, Indoor Seating, Air Conditioned, Pure Veg, Free Parking",4.2
Sangeetha Veg Restaurant,Casual Dining,Chennai,T. Nagar,13.04313661,80.23666598,"South Indian, North Indian, Chinese",800,"Lunch, Takeaway Available, Cash, No Alcohol Available, Credit Card, Debit Card, Delivery, Dinner, Breakfast, Indoor Seating, Table reservation required, Pure Veg, Serves Jain Food, Air Conditioned, Digital Payments Accepted",4.5
Salt,Casual Dining,Chennai,"Forum Vijaya Mall, Vadapalani",13.05094579,80.20949353,"North Indian, Seafood, Biryani",1200,"Takeaway Available, Lunch, Mall Parking, Delivery, Credit Card, Debit Card, No Alcohol Available, Dinner, Cash, Buffet, Indoor Seating, Table booking recommended, Wheelchair Accessible, Air Conditioned",4.3
Dindigul Thalappakatti,Casual Dining,Chennai,Thuraipakkam,12.92552822,80.23058105,"South Indian, Biryani, Chinese, North Indian",800,"Credit Card, Dinner, Debit Card, Lunch, Delivery, Cash, Takeaway Available, No Alcohol Available, Air Conditioned, Digital Payments Accepted, Catering Available, Halal, Indoor Seating, Table booking recommended, Wifi",3.9
Rasavid,Casual Dining,Chennai,Karapakkam,12.91517788,80.22951622,"Andhra, Hyderabadi, Chinese, North Indian, Biryani",800,"Debit Card, Dinner, Takeaway Available, Lunch, Delivery, Cash, No Alcohol Available, Credit Card, Table booking recommended, Indoor Seating, Digital Payments Accepted, Air Conditioned, Catering Available",3.6
Moonrakers,Casual Dining,Chennai,Mahabalipuram,12.61957162,80.1963155,"Seafood, North Indian, Chinese, Continental, Italian",700,"Cash, Debit Card, No Alcohol Available, Dinner, Credit Card, Lunch, Indoor Seating, Wifi, Outdoor Seating, Air Conditioned, Rooftop, Table reservation required",3.7
Jalpaan,Casual Dining,Chennai,Nungambakkam,13.05743752,80.255365,"North Indian, Chinese, South Indian",1100,"Cash, Delivery, Credit Card, Debit Card, Lunch, Dinner, Takeaway Available, Table reservation required, Pure Veg, Valet Parking Available, Air Conditioned, Wifi, Serves Jain Food, Buffet, Indoor Seating",4.3
Supriya Andhra Restaurant,Quick Bites,Chennai,Egatoor,12.83907226,80.22744656,"Biryani, North Indian, Chinese",650,"Cash, Debit Card, Delivery, Lunch, Credit Card, Takeaway Available, Dinner, Indoor Seating",3.8
Al Reem Kuzhimandi,Casual Dining,Kochi,Nedumbassery,10.144616,76.353207,"Arabian, Biryani",400,"Cash, Lunch, No Alcohol Available, Dinner, Indoor Seating, Air Conditioned",4.5
Tuscana Pizzeria,Casual Dining,Chennai,Nungambakkam,13.06135645,80.24960462,"Italian, Pizza",1200,"Takeaway Available, Debit Card, Lunch, Dinner, Cash, Delivery, Credit Card, Table booking recommended, Air Conditioned, Wheelchair Accessible, Valet Parking Available, Digital Payments Accepted, Indoor Seating",4.1
Amelie's,Cafe,Chennai,Alwarpet,13.0396959,80.25583941,"Cafe, Continental, Italian",900,"Cash, Dinner, Delivery, Lunch, Debit Card, Takeaway Available, Credit Card, No Alcohol Available, Valet Parking Available, Indoor Seating, Air Conditioned, Desserts and Bakes, All Day Breakfast, Table booking recommended",4.4
Kashi Art Cafe,Casual Dining,Kochi,Fort Kochi,9.966783333,76.24298056,"European, Cafe",600,"Credit Card, No Alcohol Available, Dinner, Lunch, Cash, Debit Card, Wifi, Outdoor Seating",4.5
Copper Kitchen,Casual Dining,Chennai,Kotturpuram,13.01728378,80.24116471,"Seafood, North Indian, Chinese, Chettinad",800,"Dinner, Takeaway Available, Credit Card, Lunch, Cash, Delivery, Debit Card, Indoor Seating, Table booking recommended, Air Conditioned, Wifi, Free Wifi, Digital Payments Accepted, Halal",4.3
Little Italy,Casual Dining,Chennai,Besant Nagar,12.99642564,80.26863322,"Italian, Mexican, Salad",1500,"Lunch, Cash, Delivery, Credit Card, Debit Card, No Alcohol Available, Dinner, Takeaway Available, Valet Parking Available, Indoor Seating, Table booking recommended, Pure Veg, Outdoor Seating, Air Conditioned, Wheelchair Accessible, Serves Jain Food, Buffet",4.4
